country_name,country_iso3,year,indicator_name,indicator_code,value
Sri Lanka,LKA,1963,Arable land (% of land area),AG.LND.ARBL.ZS,12.6295646627332
Sri Lanka,LKA,1962,Arable land (% of land area),AG.LND.ARBL.ZS,9.20108435656195
Sri Lanka,LKA,1961,Arable land (% of land area),AG.LND.ARBL.ZS,9.48811991707862
Sri Lanka,LKA,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1983.33693346
Sri Lanka,LKA,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1991.59277244
Sri Lanka,LKA,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,2012.40496234
Sri Lanka,LKA,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.05063226706774
Sri Lanka,LKA,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.06333082995924
Sri Lanka,LKA,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.09534270700926
Sri Lanka,LKA,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,276.92862303
Sri Lanka,LKA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,268.672784044
Sri Lanka,LKA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,247.8605941488
Sri Lanka,LKA,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.425952534255569
Sri Lanka,LKA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.41325397135511
Sri Lanka,LKA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.381242094315531
Sri Lanka,LKA,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.47658480132331
Sri Lanka,LKA,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.47658480131435
Sri Lanka,LKA,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.47658480132479
Sri Lanka,LKA,2022,Forest area (sq. km),AG.LND.FRST.K2,21067.0
Sri Lanka,LKA,2021,Forest area (sq. km),AG.LND.FRST.K2,21098.6
Sri Lanka,LKA,2020,Forest area (sq. km),AG.LND.FRST.K2,21130.2
Sri Lanka,LKA,2019,Forest area (sq. km),AG.LND.FRST.K2,21161.8
Sri Lanka,LKA,2018,Forest area (sq. km),AG.LND.FRST.K2,21193.4
Sri Lanka,LKA,2017,Forest area (sq. km),AG.LND.FRST.K2,21225.0
Sri Lanka,LKA,2016,Forest area (sq. km),AG.LND.FRST.K2,21256.6
Sri Lanka,LKA,2015,Forest area (sq. km),AG.LND.FRST.K2,21288.2
Sri Lanka,LKA,2014,Forest area (sq. km),AG.LND.FRST.K2,21237.8
Sri Lanka,LKA,2013,Forest area (sq. km),AG.LND.FRST.K2,21187.4
Sri Lanka,LKA,2012,Forest area (sq. km),AG.LND.FRST.K2,21137.0
Sri Lanka,LKA,2011,Forest area (sq. km),AG.LND.FRST.K2,21086.6
Sri Lanka,LKA,2010,Forest area (sq. km),AG.LND.FRST.K2,21036.2
Sri Lanka,LKA,2009,Forest area (sq. km),AG.LND.FRST.K2,21099.0
Sri Lanka,LKA,2008,Forest area (sq. km),AG.LND.FRST.K2,21161.8
Sri Lanka,LKA,2007,Forest area (sq. km),AG.LND.FRST.K2,21224.6
Sri Lanka,LKA,2006,Forest area (sq. km),AG.LND.FRST.K2,21287.4
Sri Lanka,LKA,2005,Forest area (sq. km),AG.LND.FRST.K2,21350.2
Sri Lanka,LKA,2004,Forest area (sq. km),AG.LND.FRST.K2,21413.0
Sri Lanka,LKA,2003,Forest area (sq. km),AG.LND.FRST.K2,21475.8
Sri Lanka,LKA,2002,Forest area (sq. km),AG.LND.FRST.K2,21538.6
Sri Lanka,LKA,2001,Forest area (sq. km),AG.LND.FRST.K2,21601.4
Sri Lanka,LKA,2000,Forest area (sq. km),AG.LND.FRST.K2,21664.2
Sri Lanka,LKA,1999,Forest area (sq. km),AG.LND.FRST.K2,21848.11
Sri Lanka,LKA,1998,Forest area (sq. km),AG.LND.FRST.K2,22032.02
Sri Lanka,LKA,1997,Forest area (sq. km),AG.LND.FRST.K2,22215.93
Sri Lanka,LKA,1996,Forest area (sq. km),AG.LND.FRST.K2,22399.84
Sri Lanka,LKA,1995,Forest area (sq. km),AG.LND.FRST.K2,22583.75
Sri Lanka,LKA,1994,Forest area (sq. km),AG.LND.FRST.K2,22767.66
Sri Lanka,LKA,1993,Forest area (sq. km),AG.LND.FRST.K2,22951.57
Sri Lanka,LKA,1992,Forest area (sq. km),AG.LND.FRST.K2,23135.48
Sri Lanka,LKA,1991,Forest area (sq. km),AG.LND.FRST.K2,23319.39
Sri Lanka,LKA,1990,Forest area (sq. km),AG.LND.FRST.K2,23503.3
Sri Lanka,LKA,2022,Forest area (% of land area),AG.LND.FRST.ZS,34.0559327513741
Sri Lanka,LKA,2021,Forest area (% of land area),AG.LND.FRST.ZS,34.1070158422244
Sri Lanka,LKA,2020,Forest area (% of land area),AG.LND.FRST.ZS,34.1580989330747
Sri Lanka,LKA,2019,Forest area (% of land area),AG.LND.FRST.ZS,34.2067102490331
Sri Lanka,LKA,2018,Forest area (% of land area),AG.LND.FRST.ZS,34.2580499159447
Sri Lanka,LKA,2017,Forest area (% of land area),AG.LND.FRST.ZS,34.2930541418254
Sri Lanka,LKA,2016,Forest area (% of land area),AG.LND.FRST.ZS,34.3441099962839
Sri Lanka,LKA,2015,Forest area (% of land area),AG.LND.FRST.ZS,34.3951658507424
Sri Lanka,LKA,2014,Forest area (% of land area),AG.LND.FRST.ZS,33.86668792856
Sri Lanka,LKA,2013,Forest area (% of land area),AG.LND.FRST.ZS,33.7863179716154
Sri Lanka,LKA,2012,Forest area (% of land area),AG.LND.FRST.ZS,33.7059480146707
Sri Lanka,LKA,2011,Forest area (% of land area),AG.LND.FRST.ZS,33.625578057726
Sri Lanka,LKA,2010,Forest area (% of land area),AG.LND.FRST.ZS,33.5452081007814
Sri Lanka,LKA,2009,Forest area (% of land area),AG.LND.FRST.ZS,33.6453516185616
Sri Lanka,LKA,2008,Forest area (% of land area),AG.LND.FRST.ZS,33.7454951363419
Sri Lanka,LKA,2007,Forest area (% of land area),AG.LND.FRST.ZS,33.8456386541221
Sri Lanka,LKA,2006,Forest area (% of land area),AG.LND.FRST.ZS,33.9457821719024
Sri Lanka,LKA,2005,Forest area (% of land area),AG.LND.FRST.ZS,34.0459256896827
Sri Lanka,LKA,2004,Forest area (% of land area),AG.LND.FRST.ZS,34.1460692074629
Sri Lanka,LKA,2003,Forest area (% of land area),AG.LND.FRST.ZS,34.2462127252432
Sri Lanka,LKA,2002,Forest area (% of land area),AG.LND.FRST.ZS,34.3463562430234
Sri Lanka,LKA,2001,Forest area (% of land area),AG.LND.FRST.ZS,34.4464997608037
Sri Lanka,LKA,2000,Forest area (% of land area),AG.LND.FRST.ZS,34.546643278584
Sri Lanka,LKA,1999,Forest area (% of land area),AG.LND.FRST.ZS,34.8399138893318
Sri Lanka,LKA,1998,Forest area (% of land area),AG.LND.FRST.ZS,35.1331845000797
Sri Lanka,LKA,1997,Forest area (% of land area),AG.LND.FRST.ZS,35.4264551108276
Sri Lanka,LKA,1996,Forest area (% of land area),AG.LND.FRST.ZS,35.7197257215755
Sri Lanka,LKA,1995,Forest area (% of land area),AG.LND.FRST.ZS,36.0129963323234
Sri Lanka,LKA,1994,Forest area (% of land area),AG.LND.FRST.ZS,36.3062669430713
Sri Lanka,LKA,1993,Forest area (% of land area),AG.LND.FRST.ZS,36.5995375538192
Sri Lanka,LKA,1992,Forest area (% of land area),AG.LND.FRST.ZS,36.8928081645671
Sri Lanka,LKA,1991,Forest area (% of land area),AG.LND.FRST.ZS,37.1860787753149
Sri Lanka,LKA,1990,Forest area (% of land area),AG.LND.FRST.ZS,37.4793493860628
Sri Lanka,LKA,2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1991,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1990,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1989,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1988,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1987,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1986,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1985,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1984,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1983,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1982,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1981,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1980,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1979,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1978,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1976,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1975,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1974,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1973,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1971,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1970,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1969,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1968,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1967,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1966,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1965,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1964,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1963,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,1961,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
Sri Lanka,LKA,2022,Land area (sq. km),AG.LND.TOTL.K2,61860.0
Sri Lanka,LKA,2021,Land area (sq. km),AG.LND.TOTL.K2,61860.0
Sri Lanka,LKA,2020,Land area (sq. km),AG.LND.TOTL.K2,61860.0
Sri Lanka,LKA,2019,Land area (sq. km),AG.LND.TOTL.K2,61864.47
Sri Lanka,LKA,2018,Land area (sq. km),AG.LND.TOTL.K2,61864.0
Sri Lanka,LKA,2017,Land area (sq. km),AG.LND.TOTL.K2,61893.0
Sri Lanka,LKA,2016,Land area (sq. km),AG.LND.TOTL.K2,61893.0
Sri Lanka,LKA,2015,Land area (sq. km),AG.LND.TOTL.K2,61893.0
Sri Lanka,LKA,2014,Land area (sq. km),AG.LND.TOTL.K2,62710.0
Sri Lanka,LKA,2013,Land area (sq. km),AG.LND.TOTL.K2,62710.0
